Temperature,Humidity(%),WindSpeed,Rainfall(mm),AirPressure
16.82,93,5.32,2.18,1012.48
33.0,32,0.0,14.55,1033.19
30.26,35,10.39,2.94,1007.37
30.54,48,3.55,10.45,1000.23
18.63,72,5.42,3.71,1010.61
34.82,37,7.35,12.95,1010.43
15.19,48,4.07,10.24,1017.73
29.11,37,9.91,9.33,1011.22
40.33,23,13.62,0.43,1024.31
18.07,42,21.11,2.13,1008.45
21.04,100,13.5,17.87,1017.42
25.7,50,9.89,6.75,1013.16
21.48,54,9.78,2.49,1016.78
14.15,63,10.03,5.89,1011.77
25.48,46,9.02,1.36,1010.23
17.56,41,10.0,0.3,994.73
28.32,93,11.79,0.53,1018.18
18.56,68,10.98,16.97,1014.46
35.85,43,11.02,10.32,1011.16
19.52,89,10.08,8.94,1010.24
22.75,48,8.05,0.29,1014.02
30.69,41,16.63,7.16,1018.76
16.38,22,0.0,4.78,1012.44
26.59,56,14.15,1.71,1004.45
34.15,55,9.87,4.16,1008.53
13.75,25,11.52,0.84,1023.76
26.29,36,2.69,4.75,1005.28
26.82,21,0.0,4.5,1021.97
30.47,61,15.55,5.72,1006.85
16.34,89,15.62,1.03,1022.93
15.76,43,17.28,0.18,993.74
28.65,35,12.45,1.47,1033.69
27.08,55,7.09,0.64,1030.3
26.75,53,9.99,5.38,1017.09
27.43,70,10.31,1.24,1016.89
20.24,26,6.37,12.13,998.96
26.63,74,8.08,7.24,1017.93
27.05,68,8.03,0.26,1011.65
20.0,41,13.02,5.83,1019.61
38.06,66,3.52,1.28,1000.19
28.32,40,6.76,2.01,1011.56
16.66,100,11.35,2.65,1012.23
29.6,75,10.97,5.55,1025.66
18.18,40,15.52,3.38,993.72
30.51,60,8.89,12.94,1004.26
33.11,94,3.33,2.2,1013.1
19.26,44,6.02,5.1,1007.45
31.74,23,16.84,1.89,999.05
27.89,31,0.0,13.33,1020.04
30.75,22,7.85,26.73,1015.73
38.28,26,6.92,10.06,1011.33
23.28,57,9.4,4.94,1008.85
19.72,73,8.21,2.29,1009.88
18.77,81,8.8,1.92,1012.78
19.29,76,10.14,0.37,1013.18
24.46,66,6.44,0.24,1022.56
27.39,74,13.38,13.13,1017.05
26.94,41,12.76,9.34,1025.23
30.79,80,3.01,8.96,996.89
25.09,52,6.41,2.16,1027.88
35.17,21,0.82,9.74,1024.6
23.15,57,1.41,3.09,1009.56
44.04,21,15.33,0.67,1000.1
29.38,24,0.0,14.9,1004.95
19.0,39,6.68,4.09,1015.18
17.5,65,2.13,2.52,1031.72
28.38,64,8.84,3.05,1004.44
23.44,64,9.51,10.85,1009.77
30.0,46,8.66,1.23,1007.46
28.31,98,15.63,3.04,1015.89
24.49,50,1.71,1.32,1022.47
19.07,71,0.24,2.16,1010.62
14.4,32,8.09,5.38,1019.1
21.87,25,14.48,1.07,1014.3
30.99,44,5.21,8.72,1018.91
26.5,23,12.53,14.99,1015.33
16.28,90,14.5,3.77,1006.8
26.21,30,11.53,6.77,996.97
27.7,83,9.17,4.13,1010.37
18.81,79,10.72,12.01,1012.83
26.08,87,10.23,4.06,1021.76
25.41,65,15.63,19.92,1027.25
17.0,93,7.86,22.72,1018.06
27.5,91,11.64,8.79,1003.36
28.93,74,8.81,3.51,1017.93
32.58,95,11.37,1.21,998.39
32.38,60,10.98,0.79,1005.04
15.36,25,6.44,0.86,997.55
18.44,25,14.11,4.95,992.01
28.61,32,8.76,1.31,1033.69
28.6,44,9.19,4.22,1026.11
28.61,31,0.0,11.31,1012.04
45.0,91,14.02,2.0,1012.96
29.0,91,11.23,0.95,1024.11
32.95,22,2.53,12.66,1009.38
31.68,93,7.9,0.9,1004.49
29.56,80,4.0,3.84,1005.86
22.79,48,12.4,1.69,1022.6
30.31,94,6.84,0.67,1012.94
19.59,67,12.52,1.85,1020.24
23.34,33,11.76,0.01,1013.7
21.6,63,21.03,1.01,1002.02
25.57,36,13.08,2.55,991.17
41.2,87,4.62,2.71,1019.58
11.93,60,12.23,3.18,1007.79
29.8,90,12.87,0.16,1008.54
13.71,59,9.22,3.29,1021.67
21.7,44,13.51,4.2,1009.12
32.62,95,1.69,0.8,1009.27
25.45,60,17.22,5.05,1018.27
17.46,88,13.23,4.43,1012.74
19.99,64,10.15,1.63,1024.65
29.76,56,12.08,2.55,1015.35
19.89,35,2.52,12.11,1024.57
26.52,52,7.95,4.39,1024.0
25.32,26,13.3,4.83,1008.03
20.44,80,9.54,3.15,1015.84
40.01,81,8.85,0.99,1018.25
29.44,93,6.16,18.16,1001.43
10.82,87,12.85,0.31,1008.58
26.31,95,13.66,1.61,1009.08
20.37,35,17.09,0.38,1005.44
30.97,86,11.93,2.67,1009.76
19.45,47,13.92,1.43,1015.27
24.2,26,17.07,0.2,1009.46
28.53,45,3.37,4.12,998.21
31.06,78,16.37,14.47,998.1
16.6,48,2.59,11.45,1017.97
22.66,91,12.23,4.55,1006.12
21.68,28,9.91,0.42,1016.64
20.43,85,13.9,0.37,1015.31
37.36,95,16.33,14.2,1023.45
27.83,73,17.77,1.55,1019.37
16.17,47,13.45,2.75,1008.93
31.43,39,8.56,3.62,1010.62
39.86,85,8.66,0.41,1026.68
32.23,88,11.98,12.93,1015.45
14.36,53,6.47,2.21,1019.01
21.61,72,12.65,0.57,1006.23
33.87,53,8.16,10.77,1023.55
20.05,99,17.74,24.79,994.47
28.11,80,10.14,4.64,1023.03
30.42,20,12.04,5.38,1018.89
18.51,67,0.76,11.27,1012.0
24.58,77,0.22,3.82,1009.2
2.31,35,5.65,12.18,1018.16
17.83,78,10.43,3.53,1021.1
23.23,55,14.24,0.39,1015.47
16.27,82,7.79,0.11,1006.42
36.43,38,11.43,0.51,1024.94
14.99,77,14.67,0.77,1023.9
21.92,76,8.97,2.55,981.82
25.92,58,10.27,0.99,1007.94
35.09,53,6.33,6.94,1013.15
14.95,81,20.39,3.53,995.49
33.14,49,14.51,0.01,1009.71
25.07,28,7.67,2.87,1011.5
18.13,98,13.65,0.7,1006.83
28.23,29,0.23,6.8,1009.88
26.39,22,11.49,7.94,1011.72
20.8,63,17.87,5.82,1009.07
25.49,35,14.61,7.01,1013.12
22.3,57,16.36,2.76,1006.69
25.79,82,7.9,7.08,1009.56
29.63,98,9.64,7.31,1016.92
36.1,28,9.55,5.98,1005.38
16.34,86,5.48,11.22,990.12
39.93,69,3.11,3.99,1021.52
11.34,25,11.16,1.52,1011.83
23.94,46,7.6,7.67,1027.25
29.12,90,16.86,6.78,1022.85
26.97,75,10.0,21.14,1013.59
20.64,34,5.24,5.44,1010.49
23.54,43,23.11,10.39,1014.15
21.55,74,2.46,1.95,1008.24
20.87,43,10.15,1.58,1013.54
30.95,38,13.96,5.6,1018.41
27.5,47,13.35,6.19,1010.16
20.15,87,0.0,3.52,998.87
31.3,67,7.38,6.58,1020.65
27.15,98,16.09,1.96,1006.99
30.69,88,11.45,3.27,986.14
29.41,69,13.15,0.15,1014.01
19.2,85,13.87,0.89,1007.89
21.08,95,12.52,7.81,1002.11
30.23,71,5.54,0.21,1001.9
29.27,95,11.66,1.25,1013.65
24.85,92,17.62,6.77,1018.15
25.82,24,10.27,6.42,1008.2
33.94,37,9.81,2.73,1002.52
20.86,84,3.59,3.86,1018.83
28.83,48,21.55,1.86,1020.14
23.58,73,7.39,0.26,1014.31
23.48,59,12.68,5.38,1003.51
32.69,54,6.27,6.01,1024.96
30.78,39,16.95,13.11,1032.93
30.69,79,17.63,7.09,1005.44
34.14,78,7.63,0.53,1013.46
25.15,31,15.57,0.72,1014.18
29.77,89,5.76,2.98,1015.7
22.83,86,4.91,4.85,1010.47
27.27,57,0.79,14.91,1008.54
24.09,73,6.58,0.11,1013.54
25.68,55,11.75,3.08,1020.43
29.17,77,23.57,2.55,1011.48
19.27,39,8.22,7.93,1018.59
39.65,58,2.8,0.92,1012.96
17.96,85,10.76,1.03,1015.77
16.5,99,0.0,1.42,1010.7
33.11,65,21.07,8.25,1019.16
30.54,44,16.62,3.95,1014.53
29.37,80,8.61,0.92,1000.88
29.4,83,7.88,0.74,1007.0
24.91,39,5.93,3.27,1030.19
18.72,86,0.4,6.58,1016.99
25.53,63,7.74,14.21,1007.08
20.26,100,18.07,2.23,1017.91
31.83,100,13.82,2.5,1014.65
23.97,75,5.62,1.58,1013.34
19.22,83,13.48,5.27,1014.51
22.75,75,8.64,0.32,1027.12
27.89,68,9.35,9.77,1004.49
21.05,56,4.63,4.66,1011.95
19.24,41,4.74,0.63,1017.02
26.71,58,8.52,10.89,994.54
26.71,81,10.59,6.12,1006.95
21.45,77,17.31,0.33,1007.95
21.7,86,15.34,0.07,993.54
26.62,91,7.0,2.22,1001.16
14.86,37,8.52,8.05,996.72
15.15,93,9.11,2.84,1015.9
19.97,57,6.95,4.28,983.69
23.51,40,3.16,0.81,1006.76
27.18,53,4.96,5.52,1019.74
35.33,73,10.91,1.96,1011.25
31.0,50,14.75,10.12,1018.75
23.88,99,9.24,0.25,1013.57
24.87,86,5.68,7.4,1023.2
17.98,77,11.53,6.66,998.21
24.87,92,17.45,0.7,1009.6
22.98,22,11.02,3.99,1007.73
27.26,96,23.01,3.86,1011.53
19.21,53,21.88,3.98,1015.02
28.64,31,7.23,23.93,1023.77
35.73,78,13.67,2.22,1020.62
24.24,98,5.04,0.89,1013.26
27.81,63,14.85,5.09,1031.96
29.83,63,12.7,10.3,1012.43
22.19,77,13.02,0.25,1009.75
26.57,69,9.97,3.04,1015.2
25.09,92,0.0,0.05,1024.19
25.68,97,10.65,8.4,1019.09
19.59,57,12.51,7.13,1002.85
25.17,67,2.22,7.73,1042.57
28.49,53,10.52,0.66,1006.22
35.16,63,8.46,8.55,1030.83
31.71,74,9.52,1.94,1023.85
40.07,79,2.55,3.84,1019.87
19.63,51,15.2,0.09,1026.42
31.11,35,3.33,15.29,1010.52
26.28,50,6.62,2.94,1011.23
40.33,61,14.18,9.89,1018.64
19.34,98,9.7,5.56,1036.06
19.12,57,14.48,8.44,1010.49
20.8,23,18.57,7.81,1016.79
10.13,51,15.24,1.08,1023.38
21.32,87,10.84,5.77,1001.76
19.69,20,11.14,1.52,1017.76
26.05,55,16.7,1.63,1019.96
27.39,26,6.37,4.83,995.85
38.13,63,5.51,0.6,1004.99
31.65,43,5.63,0.99,1023.03
20.96,52,8.65,3.0,1007.31
18.71,98,8.83,1.1,1008.79
28.44,44,13.81,3.24,1007.79
15.76,97,8.85,5.61,1010.36
37.82,77,18.6,5.77,1026.81
33.26,31,12.28,8.74,997.06
21.72,95,7.0,1.36,1007.33
13.01,99,13.61,4.23,1020.29
34.48,30,1.07,16.95,1013.58
24.2,88,11.72,0.48,1002.77
33.66,97,3.45,1.63,1014.42
13.84,63,6.71,9.86,1012.57
20.8,85,4.2,3.29,1020.66
25.04,71,15.24,6.8,1028.5
25.33,85,7.46,1.96,1007.93
21.85,69,8.69,2.61,1023.65
29.36,31,14.6,0.42,1003.41
17.53,88,14.44,10.6,1009.75
24.0,95,10.55,6.04,1004.78
25.84,52,14.84,3.55,1002.45
28.6,77,8.04,1.7,1012.03
29.98,29,16.01,8.01,1021.08
17.13,72,13.16,9.27,1028.89
14.26,68,13.96,1.99,1005.79
33.94,54,14.43,5.47,1011.76
27.33,96,15.55,3.29,1018.4
19.76,68,9.64,9.2,1010.13
35.86,29,13.8,1.3,1026.71
25.81,76,19.42,2.52,1012.68
33.26,82,15.88,3.81,1014.84
25.47,98,5.93,9.86,1009.14
39.43,82,0.66,2.15,1019.01
37.29,57,5.1,0.04,1004.77
23.26,92,0.0,1.9,1007.12
31.8,80,7.54,1.77,1005.22
29.52,85,7.65,0.87,1020.63
34.58,53,14.23,5.36,1002.92
18.25,41,12.38,7.44,1014.69
29.8,95,0.8,14.77,1000.62
32.41,36,7.67,2.2,1021.25
12.69,32,9.62,8.87,1010.6
16.72,34,1.41,9.0,1022.01
10.73,93,1.92,13.01,1014.44
23.11,90,8.97,11.61,1026.48
30.02,32,10.43,0.65,1015.3
35.52,82,3.77,7.13,1013.46
25.52,26,11.93,6.61,1028.05
36.4,89,9.69,13.57,999.53
15.34,99,13.56,1.62,1006.96
13.08,88,12.29,11.73,1024.69
24.61,56,0.0,15.02,1016.06
27.69,96,11.42,8.8,1000.33
24.77,45,8.45,0.53,1028.32
10.53,66,8.69,2.72,1009.97
24.38,36,12.35,1.75,1005.56
15.87,94,12.01,4.37,1008.9
29.69,97,10.68,4.19,1008.99
27.57,74,11.02,5.15,997.42
18.42,41,10.78,1.91,1021.15
21.4,58,13.24,1.89,1009.56
17.59,60,11.69,0.69,1022.93
24.56,65,9.51,3.19,1006.28
31.69,48,8.96,1.26,1017.79
18.1,39,7.06,2.95,1011.29
28.53,88,3.85,2.17,1020.17
21.29,77,2.93,5.9,1000.29
19.45,47,8.11,2.16,1012.11
24.25,50,11.74,1.89,1021.92
17.75,83,11.22,0.62,1019.91
21.12,46,13.38,0.85,1003.96
16.61,45,0.0,0.46,1016.16
38.75,69,8.07,16.38,1013.63
25.25,46,12.68,4.92,1021.48
20.1,57,0.82,3.76,1026.78
26.5,38,9.45,0.89,1008.96
24.21,26,13.27,6.4,1029.82
23.45,60,11.38,2.05,1018.08
29.3,27,5.82,5.62,1026.64
30.3,39,5.11,8.53,993.97
21.29,42,6.87,0.92,1010.5
20.97,95,13.5,17.47,1000.88
23.07,47,17.31,2.9,1010.78
8.89,42,14.01,2.01,1001.56
14.39,69,17.11,2.15,1018.43
34.57,40,5.65,10.95,1006.13
36.51,44,9.31,13.29,1002.29
23.26,52,6.75,3.92,994.56
29.04,87,11.03,2.42,1016.45
27.18,92,18.28,10.11,1016.77
45.0,77,12.38,14.76,1023.79
32.84,67,18.91,3.3,1004.46
24.1,84,3.48,26.74,997.71
18.31,51,5.57,5.19,994.79
13.75,100,1.09,0.61,1007.73
26.42,81,8.88,0.37,1026.08
19.71,33,0.0,4.21,1009.04
15.04,77,7.22,1.89,1013.11
20.47,65,12.52,1.51,1009.4
17.43,86,5.88,2.67,1020.36
36.81,84,5.22,11.54,1012.9
31.17,36,11.01,5.01,1018.07
24.94,58,10.6,0.46,1023.44
35.36,71,16.85,1.77,1021.66
25.54,74,7.1,5.33,994.91
18.97,94,8.26,29.67,1016.08
35.66,87,12.83,1.63,1031.44
28.77,38,11.04,2.71,1006.26
17.74,46,2.63,12.59,999.48
23.67,37,8.55,12.65,987.12
18.87,72,9.7,0.39,1000.62
15.32,33,9.45,8.26,1014.49
31.48,24,14.9,3.35,1010.95
38.37,56,10.35,0.93,1021.57
15.21,61,15.37,5.64,1030.38
28.94,67,15.08,3.58,1007.2
20.45,45,14.85,7.2,1020.76
21.59,94,9.55,4.04,1011.26
20.85,46,8.01,10.4,1010.87
18.95,97,12.89,1.94,1012.2
25.34,61,3.1,0.25,1013.15
19.18,56,10.24,1.88,1004.29
26.89,47,14.34,1.61,1010.82
24.65,60,9.63,6.56,1000.16
23.33,81,6.58,6.58,999.92
18.65,88,11.53,5.03,994.11
20.96,52,13.41,3.11,1023.43
30.29,50,11.85,0.56,1019.32
28.51,75,9.02,3.69,1012.4
18.16,26,10.36,13.78,1032.27
25.7,76,13.4,10.73,1007.81
30.26,53,14.1,0.09,1024.32
13.31,86,12.37,9.1,1035.86
28.8,90,7.25,3.75,1016.7
20.36,65,9.57,2.33,1032.37
28.99,47,6.25,2.39,1011.61
19.66,64,11.06,0.37,1016.41
12.37,79,0.94,4.14,1005.33
13.61,26,9.25,2.21,1015.08
25.34,65,8.19,3.13,988.08
26.82,28,13.06,3.23,995.31
18.67,34,8.44,4.27,1008.71
29.47,74,6.16,4.08,1009.17
13.37,28,9.52,2.42,1022.09
24.54,53,7.26,10.76,1015.9
16.52,76,5.43,3.78,1022.1
20.44,23,13.97,1.07,1010.43
25.33,57,13.83,3.45,1023.04
18.98,33,3.37,12.17,1017.7
22.31,60,13.05,5.76,1023.42
32.04,87,12.63,21.72,999.82
20.96,22,5.56,1.48,1028.66
30.85,46,14.77,6.72,1017.07
17.09,32,0.0,2.88,1004.94
28.71,87,12.88,6.73,1005.4
35.09,54,13.12,0.38,1023.37
7.7,38,11.12,4.51,1024.15
19.42,63,11.58,4.9,1016.12
29.04,51,7.92,5.53,1016.51
23.58,64,15.68,4.01,1025.27
27.6,88,4.88,4.11,1009.28
20.77,100,13.65,0.39,1016.94
25.61,100,6.84,5.35,1001.18
23.91,100,8.95,1.59,1020.88
33.17,44,16.13,1.35,1013.7
26.78,91,8.14,11.1,1013.99
27.36,70,5.9,5.59,1008.85
22.12,81,9.78,0.88,1001.07
21.59,27,13.46,0.19,1009.0
21.97,92,15.26,0.3,1013.82
27.76,37,7.03,12.34,1020.94
22.05,73,8.57,5.19,1023.65
27.03,63,13.36,2.43,1006.81
39.53,86,10.46,1.95,1013.09
31.1,53,8.67,0.61,1013.09
22.72,35,15.64,1.09,1018.19
33.41,74,10.03,41.62,1020.87
22.14,67,7.78,4.94,1020.18
10.73,49,6.01,0.12,1014.72
17.94,78,9.12,10.1,1019.89
11.9,55,8.01,6.17,1012.96
22.54,93,24.86,5.99,1008.53
25.13,42,17.57,23.29,1002.64
36.74,76,8.05,1.14,1021.34
27.29,59,14.15,13.48,1011.19
23.47,68,7.64,3.9,988.8
30.81,100,7.26,0.29,1011.26
9.52,24,6.8,9.88,1017.27
26.65,53,7.5,7.37,1011.26
30.4,44,1.35,3.55,1021.47
14.65,96,12.4,0.18,1025.63
33.01,94,14.82,4.72,1013.06
27.37,59,20.74,3.21,997.68
22.09,37,3.26,4.58,1026.07
29.43,21,3.41,4.08,1002.61
40.89,41,6.19,0.36,991.2
26.27,97,5.82,4.14,1019.5
26.74,97,12.76,4.93,1018.13
21.78,30,5.34,15.42,1012.65
19.05,55,17.87,1.41,1008.51
30.81,28,2.74,10.22,1001.83
19.01,87,8.97,3.37,1007.99
25.5,51,7.27,0.25,1019.03
21.66,75,14.3,2.67,1005.49
28.35,71,20.48,8.88,1018.84
27.34,33,17.12,9.38,1008.24
32.26,74,4.0,12.9,1002.36
21.43,71,10.82,0.67,990.58
23.11,33,8.57,2.84,1006.82
18.15,82,17.91,1.86,1007.09
21.89,34,8.37,13.03,1021.32
27.64,20,12.12,0.65,1011.24
30.3,91,4.87,0.93,1026.93
18.54,74,15.48,2.33,1017.52
31.09,73,11.02,1.08,1014.65
34.49,31,20.28,20.07,997.23
27.89,96,9.76,2.33,1001.08
38.14,99,6.43,0.4,1002.2
19.58,77,13.15,1.09,1016.05
16.29,29,11.8,2.32,1016.74
12.55,68,10.17,4.22,1020.06
35.47,51,11.6,1.97,1018.84
29.58,69,16.93,2.26,1026.95
24.61,30,15.65,1.13,1016.92
26.96,26,7.5,2.05,1011.68
17.12,43,18.76,8.2,1014.88
42.12,95,9.81,6.91,1017.66
25.9,35,10.85,1.49,1034.15
25.77,94,13.27,6.73,1019.37
30.08,52,4.47,12.83,1012.59
28.37,88,4.85,8.49,1019.21
26.57,36,8.84,4.82,1023.49
19.47,79,11.91,3.24,1014.95
28.3,82,8.26,2.12,1028.79
38.17,53,8.94,3.63,990.37
34.42,35,9.92,12.11,1012.53
36.15,70,14.49,6.17,1005.35
21.42,28,11.1,2.85,1025.57
18.07,46,11.55,1.02,1001.72
24.12,67,15.1,9.89,1018.72
25.39,49,11.83,11.35,1017.8
32.66,98,16.59,1.84,1014.52
13.15,41,12.31,0.49,1015.3
35.71,41,6.74,9.01,1009.78
23.89,43,23.53,2.88,1010.87
22.01,97,12.78,9.66,1003.5
17.92,57,6.11,12.56,1013.96
13.42,25,9.14,0.0,995.22
30.76,36,9.89,0.3,1022.03
25.51,74,14.27,0.82,1024.38
15.97,79,7.86,2.59,1009.85
15.93,71,9.97,5.98,1017.42
22.65,43,13.68,0.12,1007.53
36.68,70,7.15,1.26,1023.97
23.18,34,6.26,4.04,1011.43
14.48,47,4.52,12.36,1022.32
23.28,33,5.5,0.85,1014.09
23.09,30,5.64,0.84,1022.04
6.12,20,17.92,2.89,1021.63
24.62,36,11.09,0.11,1010.37
23.38,70,12.75,5.4,1005.57
29.87,73,4.37,6.92,1011.98
37.94,85,9.79,0.18,1008.19
32.89,85,18.56,1.97,1013.19
23.12,34,8.96,0.38,1014.85
17.25,96,4.14,13.0,1023.25
43.01,95,7.15,0.16,1019.03
25.41,94,14.2,5.66,997.33
25.1,94,4.36,2.88,1012.16
24.83,77,12.43,21.52,1031.45
26.39,23,12.95,0.1,980.0
23.99,84,4.42,3.32,1001.27
20.98,46,12.95,13.83,1021.67
21.17,63,11.77,0.64,1000.63
24.77,71,0.0,1.09,1015.17
21.2,96,15.19,6.76,1014.06
20.01,65,15.81,10.06,1005.32
25.75,76,7.84,2.65,1017.25
23.22,30,24.56,5.24,1014.51
35.53,93,16.8,2.96,1025.01
6.44,56,4.65,0.51,1016.63
32.64,91,8.88,5.92,1006.93
33.72,35,9.82,5.96,1008.3
10.49,88,14.71,10.48,1006.06
22.6,83,17.19,2.31,1005.53
22.4,27,6.4,10.7,980.0
15.15,54,10.55,2.82,1012.24
19.56,24,13.11,4.11,1010.19
17.23,96,7.93,9.3,1035.01
37.27,32,16.05,18.2,998.42
31.55,24,7.52,5.78,1027.74
33.9,35,9.21,9.19,1006.37
30.05,39,3.24,0.03,1005.98
17.1,61,16.01,1.06,1021.94
21.33,47,10.31,1.32,1010.46
28.43,73,9.74,14.34,1008.07
16.45,99,15.19,4.27,1026.52
29.99,30,6.34,9.28,1023.78
23.32,85,15.75,8.2,1034.05
22.38,87,13.68,0.27,1013.49
29.98,78,11.9,10.67,1004.17
28.11,96,9.05,1.05,1020.24
22.47,24,4.83,8.88,1013.71
33.12,26,11.24,0.29,1017.83
17.43,96,9.96,0.11,1021.92
29.31,41,8.13,23.65,1018.92
29.15,82,19.2,11.77,1010.07
22.83,21,17.95,1.47,1008.12
27.28,27,21.91,1.44,1044.36
16.24,22,7.48,2.97,1017.2
31.47,25,17.26,5.8,1010.32
23.71,20,5.4,20.14,986.49
21.34,95,2.97,0.96,1009.99
32.34,85,0.0,4.01,1016.91
20.07,76,9.26,3.71,1005.97
15.14,71,10.0,1.36,1021.25
14.1,56,19.28,11.6,1014.38
29.24,71,12.11,1.47,1029.01
16.04,28,13.52,6.27,1016.9
37.28,54,7.72,0.82,1006.76
10.43,64,3.59,1.37,1029.35
36.88,68,11.75,0.92,1022.91
26.48,59,18.37,13.92,1015.22
24.32,27,10.65,1.25,1029.37
21.19,34,9.84,3.39,998.07
27.79,61,19.86,4.47,1016.11
24.74,31,16.45,4.52,1010.47
32.72,71,9.8,4.9,1011.14
25.8,75,10.78,1.89,999.02
26.05,75,12.71,3.21,1019.47
22.45,77,12.04,1.62,1025.64
24.6,72,16.01,7.52,1020.8
27.15,49,11.28,2.81,1025.5
13.03,69,7.9,0.02,1016.28
15.56,61,16.71,4.51,1008.91
30.2,31,20.15,22.0,998.56
26.2,91,10.34,1.87,992.69
23.71,97,9.08,4.51,1010.37
25.13,84,9.93,1.12,1015.57
27.43,84,10.86,2.34,1026.45
21.22,78,17.59,0.52,1013.9
19.55,53,5.72,3.3,996.46
26.37,91,1.94,12.83,1013.72
18.15,93,12.11,1.74,1011.79
27.86,39,12.87,0.3,997.14
13.08,82,11.67,4.24,1000.36
32.2,79,17.16,5.96,1015.86
28.31,84,11.17,12.41,1018.99
