temperature_C,ice_cream_sales_$
25.32,530.81
24.3,426.89
34.41,758.16
23.52,482.82
38.27,805.04
36.46,729.44
25.72,544.66
33.77,563.18
33.86,671.89
17.58,311.92
37.56,733.28
27.63,603.16
35.66,633.25
23.0,497.01
37.39,770.83
24.73,558.62
15.27,201.74
37.63,782.17
17.28,358.28
22.98,457.0
38.75,847.24
38.77,669.9
29.34,592.98
30.8,667.04
26.21,442.95
22.33,476.33
23.22,480.6
31.81,529.77
33.81,731.03
34.79,651.2
34.74,773.73
17.28,374.31
27.36,562.2
16.44,379.42
28.74,619.48
26.04,422.81
37.19,658.6
23.77,468.29
17.93,304.82
18.57,454.48
34.04,631.22
30.46,613.71
17.53,379.71
17.1,464.26
32.52,707.95
16.82,303.32
35.55,737.17
32.66,688.04
17.03,371.77
17.12,293.39
39.67,894.91
24.36,425.93
24.27,519.33
35.32,662.29
38.68,793.16
39.65,783.2
33.83,611.56
24.41,364.39
17.09,386.03
34.43,660.61
28.96,586.16
25.61,602.12
37.66,784.37
17.78,210.69
27.32,485.08
15.28,213.61
26.72,492.65
16.41,314.61
17.97,487.15
17.94,409.09
31.23,642.43
33.65,695.21
29.58,615.44
39.05,693.47
24.37,416.97
22.14,465.62
36.71,734.55
20.59,426.91
39.08,861.88
15.3,271.48
39.25,766.46
16.08,333.92
37.28,660.47
28.19,490.2
39.82,864.64
16.84,322.19
28.85,552.41
39.23,796.71
28.08,478.08
30.73,599.36
32.39,619.14
26.36,545.64
30.69,508.26
29.61,552.1
37.53,727.55
16.14,298.48
22.02,493.06
38.76,735.85
37.26,898.91
26.39,565.18
30.5,585.74
21.93,468.92
19.7,430.39
26.59,516.33
23.83,534.27
29.59,543.04
16.94,368.18
39.36,781.95
39.66,807.58
32.45,660.52
28.4,568.95
22.74,553.59
35.34,677.64
32.12,602.88
19.07,376.88
37.77,820.63
35.56,713.18
38.74,771.32
33.14,635.08
30.34,582.38
25.46,562.6
38.32,763.25
36.65,745.76
16.13,287.71
15.66,352.03
24.41,549.39
35.26,658.9
39.68,748.52
18.76,332.99
29.85,648.85
24.52,442.4
39.25,767.75
36.05,671.84
35.96,803.75
26.72,507.76
25.37,590.57
21.84,435.38
16.41,303.51
36.62,772.31
35.32,704.49
39.99,870.36
39.92,787.49
28.89,555.13
34.22,661.71
38.62,834.52
36.24,737.37
21.18,386.8
26.26,453.5
18.23,375.14
38.85,730.12
30.15,514.69
20.72,468.76
31.79,574.23
30.45,519.71
23.95,472.21
17.84,341.79
31.79,592.12
28.01,571.1
34.31,671.33
28.0,670.04
36.3,716.45
28.8,512.33
29.02,595.48
36.92,757.48
25.09,484.99
18.35,283.84
15.72,391.72
33.88,614.45
30.51,654.34
32.6,713.68
20.32,390.98
18.41,412.16
15.36,355.63
23.76,421.68
29.75,668.51
24.81,512.59
25.94,410.51
37.6,761.99
23.71,446.18
27.85,579.29
34.59,659.82
24.91,466.58
30.55,559.26
36.56,742.42
38.74,800.77
18.68,373.4
38.16,748.59
27.3,550.89
21.46,481.97
26.48,477.57
39.5,723.19
27.32,486.27
23.22,382.42
30.84,566.01
21.0,477.13
16.9,252.96
18.22,351.88
18.2,397.35
18.8,376.54
18.47,413.04
31.02,591.43
19.55,366.3
23.64,453.35
37.42,776.06
26.85,673.49
31.69,633.4
19.31,374.33
19.81,347.99
16.02,407.45
19.22,365.13
21.96,408.4
19.43,378.01
17.22,435.48
18.02,332.25
26.52,529.13
20.16,277.36
24.11,531.15
27.59,537.39
32.26,690.8
15.98,351.35
34.99,707.65
30.7,591.46
17.04,344.05
36.84,669.76
38.02,771.67
16.53,358.2
21.92,442.54
35.16,704.91
33.71,643.82
19.61,384.23
20.23,349.83
24.26,457.96
27.11,645.5
30.46,613.56
24.22,508.73
26.56,529.95
33.69,677.02
15.92,325.06
21.31,414.17
32.83,686.34
37.38,711.81
27.79,481.68
28.3,575.89
17.68,409.5
26.19,491.24
28.32,605.53
21.06,454.86
21.73,512.63
24.43,581.83
15.5,339.04
23.05,455.05
20.29,324.9
23.19,512.58
17.99,416.45
37.26,732.39
29.84,614.4
31.98,588.22
34.73,664.67
27.46,483.14
17.17,356.91
28.43,548.57
29.67,655.9
33.64,684.46
25.79,533.48
18.19,364.36
22.09,520.88
24.08,554.16
31.15,614.38
29.27,600.31
23.9,548.79
39.66,734.46
30.14,617.99
20.93,401.11
17.54,424.52
18.82,402.96
21.15,336.09
19.02,359.55
19.66,463.47
22.13,487.15
19.33,334.56
37.42,699.45
17.01,344.02
28.11,559.54
25.26,492.36
39.56,771.03
17.8,326.63
24.95,611.7
39.24,766.45
36.64,699.8
35.43,733.83
21.45,423.88
19.27,339.37
31.72,621.82
38.23,761.68
28.92,599.9
29.29,601.46
22.0,389.22
34.24,715.18
19.68,438.13
23.09,408.05
25.64,473.88
27.69,545.03
21.06,432.18
17.87,370.3
30.27,603.17
22.22,372.74
29.53,641.22
18.86,327.6
27.03,608.1
28.31,624.67
16.3,270.24
23.42,485.93
18.36,435.26
16.58,361.13
39.75,710.09
23.06,459.3
35.25,746.63
21.37,511.37
32.04,633.97
34.01,596.8
29.89,707.23
26.79,529.67
25.3,578.15
23.72,461.53
38.24,792.25
35.77,681.04
39.13,749.21
18.11,452.63
33.27,712.42
38.46,767.77
19.53,437.34
16.66,299.35
33.53,670.64
29.36,592.35
36.05,682.99
18.49,325.41
34.88,603.2
20.04,352.44
19.09,473.22
19.11,293.28
35.36,705.56
31.63,640.23
28.08,549.04
23.97,523.13
36.93,724.85
24.81,543.9
35.41,735.76
25.98,451.9
24.42,546.55
26.57,515.65
22.53,361.13
33.69,697.37
27.57,537.01
20.81,497.54
37.49,804.57
24.6,446.83
28.59,619.23
37.66,718.43
30.61,529.27
17.92,327.72
38.5,703.46
30.69,613.17
23.37,563.98
18.48,373.57
34.85,720.08
30.5,559.88
28.34,539.71
37.35,774.21
34.71,690.87
18.79,339.8
22.79,506.0
21.21,431.27
33.6,774.73
15.84,349.73
29.25,528.21
34.06,687.01
36.92,678.18
23.55,571.29
35.53,661.18
17.77,411.02
36.16,770.94
18.19,329.62
24.93,515.06
34.93,711.44
18.75,416.59
20.73,423.47
33.06,627.72
33.0,688.06
31.03,648.78
32.35,600.42
28.57,456.09
21.29,455.48
23.64,491.52
19.54,412.39
37.71,820.18
29.58,635.5
25.02,565.09
26.55,570.16
38.68,780.84
18.83,315.2
29.66,670.17
27.65,542.47
30.29,575.43
15.45,340.91
36.8,644.28
38.3,729.11
29.13,551.1
32.42,615.44
38.06,858.01
32.68,649.5
18.81,344.33
29.41,585.73
30.17,646.04
25.6,416.75
33.41,673.94
38.36,744.54
38.14,776.26
26.27,468.13
17.83,347.63
39.62,785.59
35.97,655.92
18.12,455.55
38.02,781.17
36.75,781.01
27.97,541.72
29.78,606.37
24.98,439.41
16.37,295.37
23.38,422.66
35.07,716.25
15.12,387.66
23.34,511.92
24.95,589.67
28.43,608.39
38.0,780.94
23.66,427.05
23.67,489.64
33.44,645.04
26.31,567.71
20.62,344.34
26.31,520.81
18.52,371.3
19.41,477.52
27.46,498.03
25.47,567.87
37.87,798.59
24.06,468.41
29.51,610.78
30.81,603.64
15.33,307.28
31.59,669.42
19.45,516.25
39.03,828.74
18.72,386.71
25.37,578.5
17.13,271.65
39.92,778.21
27.55,554.46
29.88,545.76
16.68,306.49
33.75,592.18
20.25,341.02
37.45,736.78
20.13,355.54
19.77,416.38
15.91,331.66
26.8,553.89
29.12,557.2
16.64,386.97
34.39,712.8
26.33,537.87
28.11,573.84
26.02,510.0
25.02,566.31
28.99,636.9
18.88,359.35
19.55,399.21
36.54,711.06
38.65,896.34
24.33,473.89
21.77,495.14
31.1,755.96
25.22,520.21
15.63,225.6
18.9,453.59
32.9,632.4
31.47,595.11
15.68,402.51
20.55,345.91
20.78,487.27
31.8,624.76
15.49,217.21
17.6,396.26
35.0,587.38
19.46,386.98
31.32,544.65
20.95,402.69
17.49,384.57
21.08,442.72
33.06,671.53
36.39,778.31
35.76,715.11
24.93,487.77
31.7,648.31
20.12,369.41
22.33,489.71
37.41,751.7
15.33,342.29
17.14,333.89
20.2,428.89
15.66,346.52
19.54,289.75
29.58,518.47
25.54,482.8
37.32,739.78
35.44,772.49
23.55,493.61
21.49,455.88
24.49,566.93
29.76,663.95
21.7,383.61
30.6,673.72
25.24,509.95
28.8,550.26
25.9,503.39
22.36,415.96
38.71,781.29
34.09,677.65
18.5,431.86
36.71,830.88
27.19,523.46
37.36,682.49
35.0,733.32
25.63,559.7
15.56,330.26
21.72,357.4
28.54,531.2
30.84,624.1
21.45,398.14
18.48,319.79
35.87,824.69
39.61,742.21
28.14,623.17
19.29,406.47
21.81,466.57
15.46,366.09
37.86,722.71
17.94,343.89
29.41,611.89
21.85,344.57
28.85,659.57
31.29,631.51
35.74,667.77
20.16,457.9
15.27,310.08
18.42,332.37
37.5,797.3
36.85,620.67
29.94,619.68
30.01,665.77
31.63,590.87
19.38,323.6
37.86,778.37
25.47,475.55
24.58,603.97
27.97,532.95
16.17,313.76
19.16,409.21
33.45,578.1
17.07,344.38
30.08,657.55
21.13,418.62
24.73,437.25
22.22,422.64
23.89,382.1
32.98,644.98
22.43,504.07
29.16,551.98
26.9,572.98
31.59,557.72
38.42,862.38
33.31,722.85
20.37,382.86
15.78,249.44
21.56,405.73
29.88,611.64
16.29,380.01
27.41,442.67
29.92,658.7
23.36,479.97
34.27,627.28
17.66,225.84
16.88,344.44
33.2,675.09
27.39,516.93
32.21,689.81
25.87,619.11
21.16,403.23
35.48,672.22
34.99,785.55
32.37,636.31
21.8,469.04
29.76,564.75
24.02,537.5
17.29,283.57
37.93,765.91
18.42,383.21
38.76,765.99
26.15,491.19
19.63,482.21
28.55,611.39
36.82,693.22
33.31,571.92
35.16,777.21
31.47,583.09
32.31,649.23
36.23,729.19
21.24,439.13
27.24,460.29
20.53,393.15
39.69,793.05
38.6,769.25
15.99,355.45
32.64,661.04
38.13,784.89
19.51,360.35
29.2,669.33
37.89,743.28
15.85,333.44
32.44,654.42
22.43,471.23
38.11,822.22
39.28,743.49
38.61,813.42
26.86,573.97
36.55,739.69
36.11,733.61
22.98,401.77
35.72,697.47
15.93,223.14
29.91,582.83
20.75,411.84
18.01,290.34
16.92,353.43
32.41,708.5
23.5,480.71
33.12,662.11
16.63,306.41
22.88,476.22
28.49,518.93
34.77,574.77
22.97,538.36
30.65,660.98
37.15,688.03
30.4,535.63
20.82,421.8
15.61,315.42
36.75,775.86
15.53,293.89
36.87,795.1
28.22,553.64
38.48,830.18
34.97,690.32
39.95,755.76
23.77,456.63
34.18,716.31
25.05,518.66
27.0,542.56
30.69,561.56
36.84,733.84
39.6,759.4
34.21,650.2
25.44,558.65
25.53,472.36
33.44,627.63
20.97,435.09
17.76,309.43
23.87,449.6
22.18,539.9
22.41,439.79
20.84,450.6
16.05,446.81
15.45,318.91
39.69,820.1
25.69,529.52
24.61,475.9
31.99,646.12
20.46,400.19
38.75,729.44
34.66,734.83
17.24,254.23
25.44,509.17
36.98,725.6
38.62,720.56
26.69,564.84
30.34,555.62
19.18,363.13
39.78,831.97
20.79,319.57
38.57,825.24
31.24,623.0
30.19,588.41
27.82,487.38
20.77,419.86
19.41,389.51
20.51,437.57
19.66,369.74
34.49,641.02
23.75,490.75
16.45,300.04
39.23,809.78
37.09,690.34
38.19,803.58
39.87,871.96
19.35,378.62
24.91,565.56
33.96,716.79
32.4,664.84
18.85,376.28
35.4,680.7
20.61,472.11
20.6,461.7
28.42,516.22
29.82,602.22
29.5,549.35
17.29,369.5
36.94,776.18
21.64,354.63
18.24,360.58
37.22,765.6
38.89,782.39
36.55,820.24
35.24,626.11
31.38,695.38
28.77,531.25
17.17,236.33
25.21,520.24
24.32,480.07
21.49,434.49
33.09,687.78
27.4,575.42
17.03,313.98
20.5,450.68
32.08,540.8
16.9,333.34
36.28,782.07
27.38,561.86
27.01,542.79
29.81,579.01
35.62,729.7
23.7,459.88
31.95,670.36
29.14,556.9
21.68,509.8
36.97,766.66
34.94,789.36
31.46,609.83
36.26,786.51
36.68,670.38
32.71,690.28
35.93,712.72
32.44,654.69
32.0,676.54
30.47,646.47
33.82,718.28
18.97,396.9
37.02,767.53
36.8,724.83
15.73,282.41
35.65,721.24
18.22,257.17
23.38,488.51
33.59,715.25
19.02,411.38
35.45,678.42
35.8,613.83
27.69,586.54
15.16,263.76
22.18,379.15
30.42,655.88
39.53,722.83
30.8,607.33
21.5,518.77
30.85,583.64
28.5,516.71
34.5,715.29
17.67,369.84
34.03,597.65
28.53,573.26
39.07,840.4
23.55,540.93
30.82,603.29
38.3,790.8
17.56,378.36
38.43,819.02
32.2,639.4
16.7,398.68
22.52,414.0
32.7,693.1
16.68,283.57
29.55,501.57
23.65,503.55
30.52,758.22
16.14,338.89
36.79,725.31
39.34,848.85
39.22,762.21
33.74,586.58
18.25,412.18
33.96,756.87
15.61,318.74
15.55,326.69
23.09,431.36
27.22,536.19
34.26,696.32
32.08,643.9
26.15,524.74
21.84,279.77
39.93,806.81
25.65,446.71
26.28,549.48
19.09,434.69
34.87,725.42
32.34,589.44
20.52,368.68
17.06,337.85
32.01,682.92
31.36,676.98
21.83,454.66
38.77,727.22
18.78,434.23
25.81,514.88
38.59,751.93
25.49,485.53
30.96,543.16
24.94,553.79
21.86,430.85
39.6,757.38
25.23,535.03
37.35,786.42
20.75,328.35
20.33,484.08
15.78,426.63
31.29,630.93
24.21,496.23
36.61,851.85
26.83,481.97
39.2,758.01
19.64,421.83
36.72,791.7
34.41,690.2
34.27,644.78
36.12,786.8
34.03,680.13
30.66,613.18
18.28,412.11
15.81,391.55
38.02,772.41
30.42,632.24
34.91,750.59
27.04,529.44
17.93,331.23
18.13,344.21
32.14,596.76
25.76,460.76
20.01,511.31
27.29,501.06
16.61,345.68
29.55,586.7
21.72,486.93
34.94,704.59
22.76,524.53
26.38,521.14
15.29,318.08
16.81,373.77
24.81,506.21
27.0,566.31
30.0,614.19
22.29,375.15
32.37,685.77
36.5,788.94
34.5,683.45
15.99,309.55
27.01,554.92
17.62,449.75
21.05,406.79
39.67,824.45
18.56,362.5
27.47,579.32
30.45,545.29
32.56,741.02
28.99,598.19
15.24,290.95
23.16,450.65
27.94,572.77
17.2,444.07
23.77,552.64
15.83,303.16
16.96,344.0
24.92,505.68
18.32,268.77
29.19,572.25
32.24,655.24
35.01,654.9
20.0,486.43
19.19,327.45
17.61,301.52
30.91,652.8
32.66,667.18
15.79,293.17
38.41,818.47
16.3,338.17
28.53,663.11
32.73,565.61
36.77,709.4
32.85,739.76
35.04,724.89
23.49,464.46
35.37,687.24
17.0,357.55
37.37,690.17
28.69,502.08
35.43,736.81
26.31,568.93
31.09,668.83
28.16,541.74
33.29,642.35
17.04,340.65
16.51,280.5
21.18,456.75
18.99,364.97
36.79,732.56
20.48,400.84
39.4,813.64
23.42,482.75
19.55,486.37
34.74,675.64
31.47,719.0
27.45,458.51
28.88,602.16
32.98,580.32
20.71,363.03
39.91,749.43
39.37,734.77
31.26,594.76
19.99,509.8
32.01,596.21
16.8,255.41
15.77,340.01
21.44,440.96
26.57,642.13
36.71,732.1
33.18,549.21
33.57,649.98
25.64,490.38
23.65,411.32
24.28,457.39
39.69,786.35
16.0,317.01
36.68,664.49
29.47,619.81
25.97,601.1
33.13,676.66
27.17,598.65
36.84,745.78
37.52,698.03
25.54,524.41
21.92,413.29
29.81,540.7
37.81,752.28
20.27,446.35
30.57,594.45
30.79,712.78
33.33,714.1
18.29,338.39
32.9,629.0
37.73,861.75
19.49,373.03
20.94,436.98
39.28,806.79
19.52,304.29
36.36,641.65
27.31,588.95
21.18,371.25
36.77,735.97
26.13,447.15
27.87,540.99
23.98,490.3
29.82,493.47
19.09,384.47
24.78,501.0
39.24,761.28
21.45,374.04
31.42,609.54
23.13,443.84
34.34,782.98
18.27,359.4
39.25,761.69
26.34,520.75
20.9,439.21
16.84,356.09
19.24,407.37
27.99,590.04
23.43,395.49
35.72,740.27
25.77,524.65
21.22,393.2
30.43,613.89
32.67,647.89
19.18,382.48
19.19,392.53
15.92,234.42
33.41,681.36
31.6,664.42
26.87,549.5
36.1,685.83
35.14,659.68
29.63,601.79
36.71,774.29
20.15,468.35
17.8,394.2
21.74,460.46
16.43,201.41
28.28,534.9
38.42,783.95
15.98,285.67
18.05,314.55
26.3,472.98
38.35,855.18
22.9,393.08
27.68,543.0
16.04,284.39
18.71,330.98
39.67,813.89
39.13,823.71
15.12,243.63
38.8,778.53
30.98,613.88
36.7,711.35
26.37,480.68
27.89,613.23
27.22,492.72
31.67,568.29
18.49,424.76
15.75,324.98
22.7,394.91
32.62,648.48
20.05,369.72
31.84,711.16
39.25,772.88
17.35,373.53
31.82,635.15
26.09,593.72
36.7,744.24
19.43,446.45
32.32,673.38
35.95,691.4
38.62,772.4
32.08,630.98
27.43,519.91
30.45,555.08
36.72,802.43
29.27,482.25
15.76,381.77
38.27,698.59
32.24,671.92
31.91,608.98
20.39,324.5
31.47,686.71
24.85,376.97
31.28,665.42
17.66,359.79
31.45,681.47
39.99,831.02
16.21,354.75
39.43,833.48
25.17,545.33
36.77,757.91
34.56,674.46
29.18,572.05
33.46,674.56
36.96,725.95
25.1,611.37
23.18,459.19
31.69,576.31
35.2,697.89
34.06,639.22
34.95,796.8
25.89,522.68
35.45,740.66
18.01,385.86
28.61,619.53
15.14,314.8
23.11,442.35
24.16,485.59
24.9,436.76
32.39,640.25
24.71,583.97
26.22,561.11
20.94,413.46
24.33,587.21
20.68,383.16
16.83,353.74
30.09,586.58
31.71,623.88
30.49,629.44
26.59,560.55
24.49,479.76
36.58,689.86
27.98,651.15
26.98,544.66
15.64,260.97
23.53,419.51
24.5,589.65
24.97,622.61
29.5,606.92
28.34,536.11
30.2,620.58
34.12,667.16
35.32,735.17
32.95,676.57
38.89,776.14
15.46,304.9
19.89,386.88
15.19,351.21
31.19,614.1
37.45,851.79
21.09,529.18
38.18,744.6
16.51,312.1
38.36,764.76
23.79,443.72
17.54,393.27
27.15,602.16
21.42,492.57
22.12,432.03
22.68,442.62
35.08,601.96
28.48,536.74
22.78,409.06
30.26,549.81
32.9,633.73
21.82,420.95
25.34,505.54
18.05,428.92
19.53,448.85
32.03,584.32
19.54,412.12
28.13,522.59
32.73,661.92
17.67,418.99
29.18,559.34
21.41,378.91
39.07,784.04
27.09,607.78
35.15,803.26
28.76,544.31
16.09,328.29
30.83,630.35
38.79,704.63
30.04,527.0
35.48,725.82
37.11,723.32
20.7,343.97
20.3,440.37
30.27,608.54
25.28,506.09
36.0,665.17
37.5,664.69
23.84,446.81
20.92,420.87
34.51,654.83
21.87,382.55
35.57,692.71
25.59,513.62
31.69,704.51
17.39,355.28
30.6,538.58
26.29,424.77
29.67,470.63
19.2,401.0
33.42,615.82
36.57,756.29
20.42,467.37
17.39,377.38
15.59,300.46
31.05,713.41
30.18,580.5
28.67,528.19
20.8,432.66
24.77,534.12
29.86,467.97
27.42,603.91
39.69,712.65
18.41,265.61
32.38,630.36
25.11,449.02
25.7,534.89
32.94,676.61
32.31,661.64
39.78,856.84
18.21,348.42
17.6,370.42
33.11,578.7
29.46,637.22
21.85,412.02
16.99,325.51
17.14,325.71
37.35,742.12
19.8,377.47
23.08,353.45
20.67,475.34
23.87,444.98
16.74,316.0
27.98,549.88
16.69,360.03
35.01,675.53
20.84,470.15
28.5,663.73
37.0,821.84
31.27,638.1
28.32,537.65
23.11,432.01
23.33,448.01
31.74,592.2
39.85,817.86
31.55,619.6
28.94,578.08
33.27,649.93
26.63,555.16
16.5,342.87
29.06,563.48
38.94,771.4
19.38,380.18
32.25,678.54
20.02,361.56
28.4,544.64
17.42,253.34
26.26,471.43
33.9,666.27
23.69,451.94
31.62,534.33
34.89,723.98
38.18,719.56
20.87,336.31
24.98,517.88
18.81,417.91
39.81,674.38
38.18,797.62
28.5,559.19
36.05,708.23
28.02,504.49
30.59,604.03
17.23,340.0
33.88,790.3
18.19,389.96
35.65,712.91
34.55,750.11
32.72,698.63
15.9,245.38
22.58,484.64
21.58,436.44
24.0,445.05
17.19,292.12
38.42,761.14
28.85,576.38
22.64,510.19
24.92,385.88
26.18,460.66
30.01,610.09
27.89,550.91
37.98,765.22
27.42,525.56
39.8,808.52
36.29,646.25
20.21,509.14
38.26,786.18
17.91,381.05
35.44,655.42
24.52,460.88
36.95,764.55
36.7,716.51
35.15,716.37
34.75,656.04
22.62,385.43
17.02,396.0
25.07,456.67
19.34,432.26
32.37,605.55
23.65,465.12
39.39,768.45
31.02,609.98
35.56,749.14
18.31,447.86
36.55,721.42
38.07,767.44
27.18,530.06
30.16,607.46
34.12,646.51
19.37,335.64
27.56,567.53
24.97,510.49
18.66,429.99
24.19,486.23
16.7,331.73
15.65,338.79
18.38,416.83
39.08,773.64
28.74,446.01
39.15,730.4
25.81,569.76
22.8,541.18
27.65,619.74
25.99,497.82
17.64,336.41
31.02,657.4
20.4,438.03
30.49,485.51
31.26,627.26
18.8,373.32
16.53,273.07
34.52,660.52
26.5,543.1
16.45,318.2
39.87,844.03
16.44,416.92
32.38,694.78
39.59,814.19
20.98,412.16
18.56,410.94
18.03,329.56
22.58,424.29
17.53,288.95
32.3,568.56
16.56,395.18
27.74,568.21
39.92,824.91
35.35,700.66
30.38,702.1
22.66,541.06
30.6,611.11
28.18,562.11
25.65,502.04
18.27,309.62
37.17,722.83
26.24,509.13
19.87,286.46
24.19,369.97
25.35,503.85
35.69,755.39
33.34,628.29
34.23,772.14
15.28,291.45
25.4,465.72
