Age,Income,Credit_Score,Loan_Amount,Approved
50,105150,337,632104,0
41,198688,715,469327,1
28,176933,553,480783,0
64,90308,771,498849,1
36,94954,360,935987,0
36,52597,848,652863,1
41,147594,300,400950,0
32,174898,492,847879,0
55,71914,678,901693,1
22,165828,759,724861,1
64,178961,751,996800,1
32,188235,369,969825,0
36,189896,590,580287,0
27,174929,750,40395,1
58,10786,757,223236,0
60,191339,603,918039,0
63,179694,814,585742,1
56,114948,492,996213,0
54,20238,714,257805,0
31,36524,358,773468,0
32,160296,618,172968,0
31,89558,809,260527,1
65,101032,471,855758,0
61,49956,667,251763,1
30,121274,642,805049,0
53,19551,765,924692,0
47,196234,580,999258,0
37,185368,650,63005,0
62,164660,309,762541,0
41,45735,825,860729,1
28,29606,744,174907,0
49,154736,300,140797,0
54,64773,764,881378,1
54,193990,563,660531,0
28,13907,366,644668,0
64,84433,427,68612,0
58,183800,326,496858,0
58,99656,844,408380,1
41,12775,528,822147,0
59,72453,638,243840,0
26,186595,316,818298,0
28,197103,847,466019,1
23,154762,407,454867,0
21,118021,623,759751,0
31,94517,641,164150,0
28,115868,650,935494,0
21,144601,532,934166,0
49,135160,643,59008,0
24,46489,620,342092,0
24,44520,342,87106,0
64,183708,444,245653,0
41,77576,686,132422,1
65,166557,772,385577,1
54,103407,769,669655,1
50,39833,798,382760,1
48,192542,384,215190,0
33,79952,428,525225,0
61,26366,711,26018,0
40,106403,743,403626,1
23,134562,707,295212,1
53,184257,323,421432,0
44,153969,537,722720,0
59,145810,555,22151,0
42,105872,538,777379,0
40,118232,718,320381,1
59,147007,453,462333,0
29,198306,390,318938,0
21,165814,447,25364,0
30,136306,505,704095,0
25,106278,676,27008,1
26,95583,471,903779,0
57,56638,401,696796,0
41,43448,473,978980,0
61,26177,540,287638,0
49,117998,649,134600,0
42,160050,503,642426,0
46,169794,661,9124,1
41,22697,706,668238,0
38,159312,383,548677,0
38,149917,616,83494,0
48,176585,388,689251,0
44,169799,708,5915,1
39,75094,463,489754,0
50,130931,502,202781,0
28,113554,379,73906,0
35,134511,672,280104,1
47,29366,793,50985,0
32,140701,442,568849,0
57,88691,454,298990,0
61,151229,782,678224,1
35,48680,421,983075,0
28,31756,610,571365,0
34,46455,548,583282,0
51,84131,589,421690,0
22,151934,452,625050,0
61,11859,694,66941,0
28,84862,722,731483,1
41,25147,537,403896,0
29,161115,600,617779,0
61,83128,401,864309,0
58,82001,371,710427,0
58,39859,589,428524,0
54,125661,304,737160,0
42,71390,508,304221,0
