StudyHours,SleepHours,Attendance(%),Age,ExamScore
1.94,7.27,95,22,57.22
4.03,8.2,98,21,80.74
3.19,8.96,82,18,66.56
4.94,8.15,64,18,62.96
1.6,7.77,82,18,61.21
2.34,4.0,58,20,48.98
2.22,6.08,90,18,59.01
0.07,7.47,87,23,57.7
3.59,5.98,55,19,56.08
3.52,5.6,76,21,66.96
3.01,5.41,57,18,51.83
2.53,9.65,88,22,58.68
0.17,5.05,99,20,50.33
2.16,6.68,87,16,51.36
2.31,5.91,65,20,47.4
1.4,5.7,81,20,54.02
2.68,7.62,96,23,71.9
3.81,8.23,81,23,69.84
6.77,5.23,93,18,87.99
3.35,7.08,89,17,69.05
3.52,6.83,55,19,56.52
2.85,6.32,100,15,73.53
0.0,5.6,76,17,31.81
2.95,8.66,71,17,65.77
3.12,5.45,69,21,51.03
7.93,5.05,98,23,89.52
2.62,8.65,54,18,57.58
3.6,7.3,99,24,84.76
2.93,5.23,78,17,48.84
0.66,6.88,96,16,57.05
5.29,6.06,50,17,66.32
4.5,9.23,72,16,82.89
4.58,6.64,87,19,74.0
1.18,7.8,53,21,32.82
5.81,6.97,62,18,70.6
0.2,9.16,81,20,46.21
4.17,7.31,66,21,68.51
7.38,8.74,83,24,89.4
1.02,7.81,99,18,68.2
1.87,6.17,92,22,65.18
3.2,7.0,50,22,50.09
1.99,6.68,81,15,56.1
0.0,6.14,81,19,45.38
3.14,5.38,72,19,57.39
0.88,9.04,88,21,61.33
3.95,4.0,90,20,65.34
1.16,9.0,78,20,55.69
6.1,4.99,53,19,65.74
1.43,7.81,78,20,51.01
2.36,6.12,74,19,51.6
4.63,4.5,73,19,62.22
0.54,8.72,97,22,68.25
3.45,4.0,93,19,73.04
5.61,8.19,59,20,65.02
0.0,7.19,74,22,41.03
3.37,8.58,77,15,66.24
3.52,7.94,72,18,65.27
4.56,7.92,68,15,63.46
0.53,8.35,95,22,50.74
0.36,8.26,75,18,46.64
4.04,7.68,62,19,57.92
3.59,6.5,71,17,58.79
3.5,6.66,64,23,56.21
3.69,7.16,82,19,63.11
1.64,6.6,91,20,54.59
3.46,10.0,70,17,60.44
3.59,6.87,69,22,59.61
1.57,5.28,66,24,42.39
6.73,6.82,50,16,74.42
3.95,5.74,75,17,55.22
0.62,9.94,70,23,49.38
4.31,7.15,64,16,62.9
1.05,7.95,55,21,50.8
4.57,7.77,93,22,82.16
5.32,8.42,99,19,71.26
1.36,7.36,52,15,39.1
4.93,6.4,90,22,72.98
3.83,7.07,52,17,54.1
4.64,5.16,100,24,79.5
6.79,6.78,56,20,65.61
2.51,9.69,98,19,63.91
1.49,8.1,94,23,57.3
1.22,6.84,89,24,60.09
1.37,10.0,71,20,56.91
2.85,6.09,82,18,58.2
3.68,7.51,73,17,57.42
3.55,6.55,56,23,50.84
4.65,6.69,53,21,58.42
3.03,7.59,54,21,44.62
5.91,7.86,92,23,81.62
2.47,6.7,54,18,48.27
8.44,5.75,57,21,83.3
4.25,9.75,59,22,76.03
1.29,7.15,67,19,42.04
0.86,5.44,95,17,52.3
3.96,5.47,88,16,60.36
2.55,9.99,71,22,50.94
4.43,10.0,65,24,74.82
3.95,7.5,95,19,74.66
2.85,6.08,73,17,55.45
1.31,7.5,97,23,60.26
0.0,6.54,57,17,38.87
2.11,7.86,97,23,67.06
4.71,7.53,94,22,80.22
3.43,6.95,60,18,56.69
0.51,6.87,69,21,40.88
3.35,6.67,72,23,48.78
3.77,8.42,56,15,57.38
1.23,6.71,62,19,39.39
3.31,10.0,99,23,77.43
3.12,10.0,65,19,57.29
0.71,6.43,56,16,34.83
3.72,6.46,52,18,50.23
4.12,6.93,66,21,50.78
5.17,6.04,98,18,70.89
5.11,8.28,57,20,69.66
0.24,8.78,89,22,56.16
1.12,8.93,89,15,61.66
4.03,6.69,94,17,73.6
4.03,6.67,63,19,69.36
4.03,4.01,87,24,67.24
10.71,6.01,92,19,96.29
4.14,5.6,91,16,71.9
5.27,5.34,62,15,52.68
4.91,6.27,67,19,71.07
4.3,6.54,88,15,80.53
2.37,6.96,52,24,51.96
4.52,9.04,94,16,78.61
1.45,8.75,63,23,53.81
2.53,5.31,78,23,51.66
2.03,7.64,88,18,66.1
3.16,5.8,75,16,56.49
7.63,7.22,95,21,91.8
0.0,8.97,98,17,50.28
4.37,6.27,86,18,63.02
0.0,5.52,61,20,24.74
2.06,7.08,66,21,50.41
5.18,8.98,72,18,77.28
3.13,10.0,65,23,59.96
0.84,6.08,61,19,42.46
1.57,7.2,63,24,49.61
4.36,7.41,62,18,68.88
1.54,4.87,61,22,52.39
3.43,4.79,73,20,65.99
3.09,7.49,53,21,44.56
1.7,6.44,76,19,59.93
7.29,4.9,91,20,84.31
4.27,8.03,55,18,63.4
0.0,7.09,93,15,57.68
3.37,7.02,52,16,52.8
1.68,5.36,56,24,50.51
4.7,4.44,95,18,63.11
1.41,6.1,89,22,65.43
2.77,7.07,81,22,61.64
4.01,5.94,58,15,53.82
4.73,5.35,78,18,65.5
0.6,6.44,63,23,37.31
2.33,7.05,91,17,62.82
2.05,9.12,83,20,63.96
1.69,7.23,50,19,52.63
6.53,4.8,92,24,78.3
3.81,4.0,88,22,60.85
0.48,4.0,83,15,32.96
4.84,7.51,59,19,59.69
7.24,5.42,54,23,71.79
5.06,7.75,73,15,72.93
0.0,8.77,91,21,52.74
2.03,7.89,87,20,61.97
5.53,6.66,88,24,71.81
1.58,9.77,67,16,62.4
3.89,6.31,80,20,67.84
4.55,5.65,75,23,63.25
1.15,7.5,54,23,43.96
2.88,8.16,74,17,61.59
0.0,4.0,62,23,37.71
0.95,8.67,52,19,39.05
2.49,4.56,62,18,49.61
0.5,4.0,54,19,34.1
6.26,6.48,68,24,66.48
0.14,5.41,79,15,40.87
2.12,7.62,65,19,48.49
3.26,7.53,88,20,75.21
5.88,7.46,98,23,79.67
0.13,8.84,64,21,45.21
5.33,6.53,88,24,68.05
3.02,7.55,99,19,71.19
1.04,4.5,75,23,43.59
3.92,8.44,77,17,64.96
3.4,6.25,77,21,57.36
1.8,6.57,62,20,42.81
3.14,6.49,79,16,55.65
2.23,6.85,77,15,63.29
3.23,6.45,59,22,61.26
4.32,4.0,72,22,57.91
6.17,8.86,74,22,79.36
0.52,6.02,71,16,46.81
7.27,6.44,78,19,85.06
0.0,6.71,91,15,41.35
2.7,7.79,83,23,67.04
4.18,6.26,56,21,48.36
3.56,8.6,56,19,40.76
1.75,9.81,92,22,69.53
2.58,9.45,85,24,59.1
2.01,7.38,99,18,69.18
1.82,6.14,75,16,53.61
4.7,6.1,67,15,71.65
3.71,6.45,100,17,72.61
1.61,5.72,72,15,50.93
4.8,7.62,79,23,80.37
3.61,6.66,65,15,65.45
4.63,6.98,59,20,54.56
4.26,6.54,62,20,60.89
1.34,7.68,63,20,43.17
1.88,7.38,90,18,58.43
4.49,6.47,99,22,77.59
4.22,6.78,80,17,72.37
2.96,6.78,93,15,59.01
3.23,8.01,81,21,54.83
5.56,5.83,84,19,68.23
1.82,6.3,58,15,50.4
4.09,4.15,91,24,63.96
2.6,5.39,94,20,53.38
2.56,6.65,60,22,44.19
5.2,6.34,88,23,72.88
4.65,4.06,78,19,56.03
4.63,7.79,83,22,65.7
5.61,5.68,68,15,55.14
3.04,4.57,87,22,55.7
4.36,7.55,88,19,69.6
2.38,8.25,57,16,45.95
3.65,4.0,97,24,57.65
2.74,8.02,51,17,57.48
3.19,6.68,68,23,52.46
4.19,6.62,81,21,70.87
1.36,5.32,60,20,38.72
7.18,6.77,78,21,83.8
0.99,6.86,91,17,63.47
0.57,10.0,56,22,47.01
5.32,7.78,72,17,70.54
4.58,7.0,50,21,56.12
4.25,8.77,53,20,60.98
4.26,8.33,85,16,75.3
2.98,4.82,63,23,47.17
1.21,7.99,84,23,61.76
3.15,7.15,80,15,56.76
1.65,5.95,54,22,36.05
4.95,5.45,65,22,66.03
2.71,6.78,75,20,62.57
1.35,6.98,58,18,47.08
2.36,8.72,78,24,62.27
3.83,4.0,50,21,45.46
1.87,5.11,89,15,50.36
1.36,7.29,74,16,54.95
3.49,6.79,51,19,55.48
3.49,7.17,70,19,48.82
1.99,6.31,67,21,39.5
2.06,7.37,58,24,53.86
3.46,4.62,89,19,61.64
0.1,10.0,72,16,51.53
0.19,7.63,64,24,39.05
1.56,7.69,81,24,58.39
2.57,5.4,58,15,49.14
3.62,6.12,88,17,66.36
5.95,7.77,98,23,86.88
4.72,6.47,62,15,57.74
2.68,7.4,85,17,51.5
2.96,5.83,95,20,56.82
0.99,4.99,98,15,52.6
2.96,8.67,56,18,56.34
2.42,5.66,50,19,53.76
3.65,8.36,68,20,66.68
1.35,5.74,85,16,57.7
4.04,6.76,88,20,62.82
6.07,6.42,87,16,78.19
2.78,6.68,79,15,60.93
3.8,8.14,78,18,61.87
4.38,9.45,81,17,70.73
2.2,6.71,95,22,65.16
3.45,7.18,74,16,59.95
3.03,6.6,81,24,59.07
3.2,7.13,56,22,50.57
1.45,5.92,82,21,51.6
3.05,5.45,95,22,61.88
4.0,7.49,89,22,76.54
5.9,7.33,99,23,76.23
4.92,8.7,59,21,65.68
7.31,7.07,65,23,75.23
1.47,6.93,63,20,47.99
4.74,7.78,85,20,74.62
3.37,8.48,85,17,66.85
7.38,6.76,87,16,91.93
1.38,4.0,52,20,27.36
1.32,5.42,61,15,34.29
1.8,8.61,73,18,63.77
0.0,9.56,78,21,40.37
1.95,9.0,70,21,47.39
1.48,6.34,81,24,54.48
3.3,6.51,69,23,56.32
3.68,8.11,68,17,65.83
6.75,7.9,94,23,86.44
4.9,4.0,61,18,54.3
1.85,7.06,71,15,58.36
1.2,6.92,95,17,63.96
3.98,5.27,59,16,50.29
0.36,6.1,95,18,49.45
6.66,7.4,51,24,68.34
5.36,6.67,55,15,68.22
2.06,8.4,73,16,60.07
0.0,9.64,69,18,46.05
5.71,8.42,98,24,76.28
2.77,7.67,63,17,55.46
5.48,6.78,88,21,68.92
0.0,8.19,76,16,46.24
1.8,6.07,96,20,65.59
3.01,6.18,94,23,65.63
3.09,5.15,59,19,46.9
2.1,4.67,82,21,54.79
4.25,8.92,58,21,66.79
0.86,7.4,58,23,44.8
2.72,7.8,62,15,52.82
3.24,6.81,55,23,57.04
4.03,9.83,99,21,75.55
4.42,9.64,97,21,77.75
0.75,6.97,79,19,52.69
0.0,6.96,60,19,33.17
5.56,6.67,58,16,67.1
3.66,5.33,67,16,49.85
1.5,6.39,69,21,47.59
6.1,6.53,52,17,56.5
3.23,4.0,75,22,47.62
5.36,4.0,93,23,70.61
3.14,6.9,54,21,48.23
7.12,8.25,65,16,73.85
6.51,5.84,94,15,83.12
2.5,9.62,64,24,65.58
4.94,6.58,90,17,69.77
4.29,5.73,59,19,52.34
5.74,4.86,74,22,61.1
1.07,7.15,80,15,51.45
4.37,4.0,87,16,72.61
5.12,5.88,92,15,90.14
0.0,7.07,52,18,36.59
0.63,4.9,89,16,46.93
0.0,6.22,65,20,43.39
2.46,7.04,91,15,58.8
4.44,5.17,87,22,67.01
6.0,7.98,75,17,80.85
3.15,8.41,72,16,63.77
6.26,5.48,86,17,73.35
0.24,6.7,81,17,54.11
0.0,6.81,90,23,53.05
2.89,7.52,50,24,51.86
3.77,6.55,97,23,74.6
2.93,5.92,78,20,61.34
0.0,5.41,77,18,39.55
2.82,8.25,65,15,58.96
0.39,6.13,91,23,56.38
4.34,5.84,72,15,65.33
3.73,8.57,73,19,62.67
1.12,7.22,61,20,45.19
1.97,5.47,78,19,52.39
0.88,6.71,86,16,54.92
2.87,5.55,69,22,45.77
4.91,5.23,68,16,51.87
1.03,6.18,50,23,32.79
4.01,6.69,57,16,56.58
1.94,6.07,87,24,60.2
1.41,7.81,92,16,58.79
2.79,7.98,57,15,51.05
0.93,5.94,94,20,48.71
1.89,6.74,69,21,46.93
0.6,6.29,99,16,58.22
6.93,5.52,67,22,80.83
3.07,7.24,70,17,55.13
1.6,4.18,70,24,43.57
3.43,5.56,70,18,51.61
2.78,5.26,58,15,50.17
2.56,5.64,63,24,51.88
4.23,5.37,87,23,71.74
4.52,4.58,79,20,68.94
1.94,6.56,71,23,45.54
1.85,6.44,96,17,62.72
2.45,6.98,83,17,53.85
0.0,7.35,82,18,43.1
0.0,7.61,91,19,54.32
5.73,5.79,55,22,67.2
6.29,7.09,57,20,68.78
2.5,6.61,61,18,61.23
4.15,6.84,61,24,53.89
3.62,6.31,72,16,59.77
9.16,5.8,64,21,79.29
5.24,6.63,99,19,81.99
2.74,6.29,89,20,61.4
1.09,7.45,80,23,68.12
0.0,8.42,63,18,33.31
3.41,5.59,75,21,59.03
1.49,6.19,70,23,54.87
0.16,10.0,79,24,49.04
1.71,4.27,53,21,32.58
0.84,4.58,77,18,45.99
6.37,8.58,85,15,79.97
4.76,9.87,84,21,74.55
2.98,9.18,82,24,72.49
5.96,7.47,77,21,85.22
3.15,6.35,51,21,58.2
1.28,6.59,55,16,50.67
6.05,7.6,78,19,67.7
4.08,8.4,99,21,81.39
0.93,7.8,99,16,52.76
2.62,4.0,91,24,53.83
1.25,5.24,79,23,40.76
0.23,7.42,85,17,45.23
4.85,4.92,96,15,74.39
6.82,4.14,55,23,64.53
0.2,8.31,51,22,39.83
4.13,7.39,99,23,66.71
1.7,9.32,57,18,47.97
2.03,8.46,81,21,65.33
1.82,6.07,82,17,63.29
1.27,7.37,74,17,52.82
3.1,5.81,75,16,59.36
1.34,4.58,86,23,49.72
3.54,8.79,50,22,50.51
2.9,6.71,56,23,56.71
2.52,9.02,58,17,52.73
1.18,7.16,92,16,64.56
1.85,7.42,89,21,54.39
4.51,7.87,72,23,72.63
4.0,6.72,50,19,61.57
1.04,6.64,60,15,38.06
3.2,7.36,66,18,56.78
4.5,8.87,57,21,64.1
0.0,7.76,73,22,43.61
4.09,7.03,78,15,64.14
1.67,6.38,79,24,45.69
4.14,6.82,55,22,61.92
1.47,5.7,99,17,59.19
0.0,5.53,57,17,33.47
0.0,6.64,69,15,31.98
3.1,7.01,64,16,57.95
3.52,8.09,69,20,70.1
1.19,5.31,70,22,44.37
4.28,7.02,56,19,62.73
0.0,7.64,91,15,56.19
2.87,5.53,70,18,47.11
0.58,6.31,85,22,47.09
1.7,8.14,59,15,42.92
3.09,6.91,56,21,49.11
1.28,4.0,94,19,50.84
2.23,8.16,74,16,62.6
5.01,7.13,83,22,74.12
1.85,4.59,58,21,41.72
4.67,5.68,67,24,55.24
0.74,6.81,51,20,38.21
4.06,7.47,61,17,60.2
5.88,8.54,51,20,71.95
0.0,5.65,86,23,43.72
1.41,6.32,78,19,50.52
4.15,8.33,91,18,76.52
2.59,8.57,83,24,65.52
3.74,6.51,58,20,64.1
1.79,6.2,58,17,44.3
3.17,7.75,81,19,64.78
2.69,4.0,88,15,59.33
5.34,6.98,82,23,70.32
3.51,6.96,78,19,57.3
3.68,6.3,85,16,65.16
2.18,7.71,82,24,54.6
2.02,8.64,50,17,47.77
2.13,5.54,51,19,46.32
3.79,5.91,95,22,71.79
2.16,8.0,56,17,53.77
3.58,4.82,53,24,43.94
7.15,6.2,89,18,85.54
4.74,10.0,79,21,71.46
2.35,7.28,93,22,66.57
5.4,6.57,95,19,80.09
2.18,4.41,56,21,42.58
0.0,4.0,83,23,48.64
0.98,8.59,57,16,45.05
0.0,5.25,93,17,46.83
2.3,7.07,97,24,71.55
3.04,8.91,71,19,55.16
6.35,6.25,84,19,78.98
3.65,6.31,68,22,47.78
2.56,8.04,66,20,60.1
4.66,9.03,78,19,75.89
0.0,8.27,58,23,34.16
3.47,9.21,74,17,73.66
4.54,4.0,94,21,75.24
0.04,7.63,93,21,41.76
5.29,8.93,98,22,81.51
3.68,7.68,62,15,66.99
2.17,6.78,59,20,57.0
4.27,5.16,53,15,52.29
7.54,5.9,59,21,78.2
3.36,9.25,59,16,57.1
3.5,6.95,65,20,48.21
2.08,6.05,85,22,57.24
1.3,4.67,65,22,49.51
4.66,7.7,54,21,53.85
1.29,5.79,81,19,53.08
3.14,6.95,64,18,64.84
2.04,9.59,98,24,66.07
3.96,8.2,90,19,74.33
3.67,8.96,92,24,62.57
5.08,7.22,73,23,70.55
1.98,8.07,63,15,56.13
2.46,8.99,63,20,51.57
1.04,5.76,54,16,42.83
2.11,6.94,83,15,62.74
3.75,5.97,93,19,68.73
4.51,6.09,87,24,84.8
1.16,6.78,82,23,54.85
4.74,5.57,76,23,57.46
5.71,6.44,97,16,73.55
3.83,8.03,71,20,70.91
6.75,6.86,63,19,73.37
1.45,5.84,66,19,38.19
0.51,8.18,83,19,41.72
0.0,5.63,61,20,38.42
5.99,5.34,75,24,79.42
4.31,8.8,93,18,74.09
2.89,8.27,71,18,65.98
3.56,6.49,94,23,58.44
0.75,9.84,99,17,61.53
7.89,6.15,89,18,91.03
3.26,8.02,58,18,58.02
3.22,4.63,96,21,59.08
4.45,5.48,72,15,69.73
3.96,8.54,56,21,53.75
3.45,9.13,87,16,82.61
1.42,6.77,98,21,64.19
3.94,10.0,79,20,70.9
6.76,8.96,87,16,85.95
5.69,5.96,93,17,70.62
6.19,6.43,82,20,72.21
1.98,4.92,80,15,61.11
1.02,6.34,100,21,53.83
2.75,7.36,97,18,76.8
3.11,7.06,66,22,59.1
5.19,7.05,59,16,55.1
0.0,8.5,62,15,45.6
6.06,7.25,97,17,83.09
2.68,8.03,72,21,52.22
2.15,7.67,77,24,49.41
0.98,7.43,80,23,54.38
0.0,8.38,100,16,58.96
4.65,8.2,60,16,59.09
3.15,5.31,65,22,52.88
0.42,9.73,68,22,52.17
0.41,7.18,84,22,46.17
2.33,5.57,71,20,50.91
6.34,6.9,65,15,77.76
2.48,7.39,76,20,56.66
0.0,7.88,92,21,58.39
2.51,8.44,64,24,53.53
2.45,8.15,66,18,46.51
0.0,9.76,91,22,52.54
2.89,7.16,93,18,63.24
2.54,6.76,79,21,52.46
4.39,4.8,53,22,47.22
6.7,8.45,56,18,64.75
5.25,7.91,92,23,71.98
2.46,6.15,52,15,53.58
0.79,7.36,72,23,43.63
8.15,6.98,97,21,90.96
3.12,7.26,51,17,53.02
3.03,6.59,100,15,66.6
2.95,7.17,86,20,71.55
3.4,4.72,74,19,52.57
2.71,6.39,63,22,50.6
1.85,7.46,74,19,48.89
1.91,5.94,83,21,55.55
2.93,7.58,69,22,54.21
1.91,10.0,58,15,44.63
1.57,5.27,54,24,44.21
3.21,4.25,53,19,42.0
2.49,8.81,52,21,53.28
6.01,10.0,56,20,83.58
0.0,7.56,66,19,44.55
5.18,7.01,57,15,56.23
5.49,6.03,55,24,57.34
0.0,7.81,64,15,45.02
2.31,6.98,70,20,52.34
2.26,8.27,83,17,60.81
0.18,4.43,52,16,25.28
1.44,7.49,80,24,60.74
0.78,5.75,87,22,48.04
6.5,8.42,50,22,70.44
4.87,5.28,68,20,65.94
5.54,7.94,73,16,68.94
4.44,6.13,51,16,61.25
0.74,6.35,99,24,57.52
1.95,8.27,65,20,49.08
3.98,5.81,82,17,62.52
0.56,4.75,69,23,32.75
4.43,7.11,85,22,78.15
2.52,6.01,54,24,52.97
2.25,4.94,67,18,44.99
4.42,7.53,55,18,59.7
3.89,7.43,89,17,67.74
2.28,7.18,100,22,64.61
5.32,7.76,74,20,64.1
0.84,4.01,95,18,54.02
4.23,5.86,96,22,73.41
4.19,7.42,52,16,55.54
2.38,8.55,58,18,45.91
3.65,7.36,54,24,55.85
0.5,8.75,57,23,33.65
4.85,5.98,60,21,57.1
2.63,6.08,55,24,42.97
1.95,6.44,95,18,54.42
5.1,6.88,94,21,89.65
1.59,4.34,87,22,49.96
0.18,6.97,89,20,51.62
0.0,6.95,68,20,44.83
4.21,6.08,85,16,70.22
0.44,5.85,93,15,46.71
6.51,7.41,80,16,73.05
0.0,7.88,51,19,32.94
6.39,7.22,78,20,77.79
3.42,7.21,86,21,62.59
2.81,6.95,52,17,48.64
1.91,7.02,96,24,64.43
3.8,8.02,84,15,77.75
2.92,9.43,62,18,65.5
5.21,9.24,93,22,79.37
3.23,5.37,82,22,60.86
3.3,4.0,69,16,52.38
2.27,7.8,83,18,51.05
2.89,7.03,95,21,66.32
3.62,6.91,55,21,49.66
0.0,7.57,87,22,54.91
0.3,6.63,67,18,44.82
4.49,4.57,74,15,53.12
3.34,5.29,54,22,48.13
2.63,5.38,97,23,59.07
3.04,8.0,96,17,74.71
3.7,9.83,100,20,75.78
1.92,6.3,83,16,58.66
1.44,10.0,66,21,58.69
3.39,4.16,97,21,59.81
1.04,6.24,71,17,47.04
3.82,7.27,59,22,59.47
0.0,4.0,70,19,47.8
5.06,9.28,100,17,87.11
3.95,5.96,50,19,48.05
3.51,7.05,73,17,75.59
4.97,7.67,98,15,82.05
6.33,4.61,100,15,89.42
5.03,10.0,71,15,77.59
0.0,7.2,95,16,53.17
0.44,6.49,69,15,52.87
1.75,5.33,93,16,43.43
3.05,7.31,72,23,53.25
4.04,4.64,66,22,63.91
1.55,7.21,67,18,45.26
3.37,9.1,69,19,53.64
1.49,8.75,56,23,53.37
1.78,6.17,91,24,58.5
0.19,6.58,80,21,41.58
1.15,7.81,76,24,57.07
0.3,8.77,93,21,49.67
1.05,9.3,64,22,42.1
5.11,9.44,100,23,78.25
1.1,5.6,90,19,60.07
8.26,8.13,83,17,89.47
3.99,4.92,96,15,67.49
3.37,6.31,91,24,73.11
1.28,5.24,73,20,46.85
4.4,5.27,73,17,64.88
1.85,7.36,71,19,53.67
3.24,5.96,60,18,51.83
8.12,7.43,77,16,92.02
2.81,5.19,66,21,42.69
5.3,7.73,63,23,68.68
1.59,6.35,63,16,52.45
2.93,6.56,86,24,69.88
6.54,5.05,71,15,69.31
1.75,8.53,93,23,55.58
6.62,7.21,60,19,66.79
4.42,7.81,82,23,77.72
1.88,5.09,58,15,39.03
4.26,8.01,60,17,70.84
4.95,7.06,89,19,69.19
4.24,6.26,95,20,69.36
0.0,9.07,69,23,46.66
1.55,7.61,99,24,58.04
2.5,7.68,65,16,54.59
2.85,4.05,75,15,55.89
4.24,8.62,71,15,66.24
3.36,7.67,56,21,61.65
0.33,8.86,79,15,46.61
3.76,6.11,92,19,70.71
4.22,5.93,63,20,64.18
4.12,9.42,86,15,71.32
5.16,8.44,99,24,95.1
4.67,4.86,59,22,59.38
3.92,7.02,89,20,72.52
2.86,8.53,100,19,69.14
0.0,7.27,65,19,37.95
3.86,6.18,85,24,67.72
3.42,6.0,68,22,49.39
3.54,7.1,87,17,63.75
0.45,8.53,60,17,51.52
0.84,5.51,57,23,39.86
5.11,4.0,70,22,54.18
2.92,6.39,79,19,62.64
4.36,7.68,97,21,70.35
3.06,8.01,79,22,58.99
3.06,5.48,58,19,47.55
4.88,7.4,91,20,76.19
1.97,6.04,76,15,57.8
3.19,8.1,70,23,61.12
2.08,6.8,83,19,55.64
2.13,8.26,84,16,52.24
2.38,7.1,81,17,59.47
3.44,7.75,89,19,72.22
2.04,6.34,89,21,54.29
5.51,5.93,64,21,68.63
1.21,6.57,91,23,52.42
2.63,7.92,99,22,67.79
2.12,10.0,78,24,64.84
5.89,8.89,70,15,69.31
3.39,9.28,62,19,52.57
5.06,6.84,68,23,66.94
0.03,6.19,84,19,50.66
3.53,4.0,58,17,52.9
4.78,6.1,53,18,58.99
3.16,4.93,84,16,55.37
5.13,8.15,58,19,54.75
1.97,6.7,59,20,47.2
5.82,5.02,51,19,59.67
7.6,7.82,60,22,71.76
2.27,7.48,88,19,57.9
2.11,5.3,92,22,52.58
5.91,9.27,96,17,73.99
6.16,5.87,74,15,72.47
1.95,7.89,62,24,42.89
2.16,6.81,77,16,48.38
2.44,9.47,91,22,63.07
0.31,8.38,64,23,32.59
1.16,5.35,70,21,41.66
0.99,9.73,60,17,41.42
1.46,5.1,90,17,51.36
2.93,5.41,97,19,64.33
3.47,9.44,92,24,71.33
6.1,6.96,67,21,65.63
1.0,7.47,72,24,48.42
4.97,7.63,87,19,68.42
2.57,5.38,72,24,50.75
2.9,9.82,88,17,71.87
4.35,10.0,85,20,74.99
0.75,4.2,76,21,44.46
3.76,6.33,61,16,63.04
3.33,8.02,54,15,52.83
3.98,6.83,97,19,72.52
3.58,6.19,93,24,73.5
7.91,7.84,81,20,84.48
1.72,7.99,75,15,59.67
1.94,9.54,50,18,46.18
1.75,4.4,86,18,45.7
1.89,5.49,84,19,45.0
1.73,5.87,80,22,61.73
5.38,10.0,79,17,76.82
5.84,9.26,70,18,64.0
1.86,7.41,99,19,64.22
1.34,6.87,71,18,50.84
3.94,7.66,95,16,80.33
1.9,8.76,50,21,36.61
4.27,6.62,74,23,69.27
3.41,7.41,65,22,56.88
0.0,6.49,89,15,44.35
6.1,4.91,84,20,76.0
6.59,4.32,65,24,69.68
1.77,5.96,53,19,42.45
2.22,6.44,78,23,57.8
3.57,7.65,84,17,64.59
3.67,7.4,52,17,51.8
4.32,4.91,64,23,57.93
7.02,7.01,93,15,87.52
2.65,6.18,81,20,59.56
